"id";"label";"sectionId";"seqInSection";"isActive";"createdBy";"createdDate";"modifiedBy";"modifiedDate";"isMale"
1;"烧心或返酸";1;1;"1";"Admin";"";"Admin";"";"1"
2;"餐后腹胀";1;2;"1";"Admin";"";"Admin";"";"1"
3;"呼气味重（口臭）";1;3;"1";"Admin";"";"Admin";"";"1"
4;"长期腹泻或餐后短暂腹泻";1;4;"1";"Admin";"";"Admin";"";"1"
5;"餐后困乏";1;5;"1";"Admin";"";"Admin";"";"1"
6;"大便有未消化食物";1;6;"1";"Admin";"";"Admin";"";"1"
7;"吃油腻食物胃部不适";2;1;"1";"Admin";"";"Admin";"";"1"
8;"口腔味苦，特别饭后";2;2;"1";"Admin";"";"Admin";"";"1"
9;"胆囊疾病或胆囊切除";2;3;"1";"Admin";"";"Admin";"";"1"
10;"饮酒容易醉，或饮酒后不舒服";2;4;"1";"Admin";"";"Admin";"";"1"
11;"对烟味、汽油味及化学物质敏感（香水、油漆、清洁剂、杀虫剂）";2;5;"1";"Admin";"";"Admin";"";"1"
12;"皮肤干，脚气和/或足部脱皮";2;6;"1";"Admin";"";"Admin";"";"1"
13;"食物过敏或食物不耐受";3;1;"1";"Admin";"";"Admin";"";"1"
14;"某种食物使你疲劳或腹胀";3;2;"1";"Admin";"";"Admin";"";"1"
15;"交替性便秘与腹泻";3;3;"1";"Admin";"";"Admin";"";"1"
16;"哮喘、鼻窦炎、鼻塞";3;4;"1";"Admin";"";"Admin";"";"1"
17;"做怪梦或恶梦";3;5;"1";"Admin";"";"Admin";"";"1"
18;"渴望面包或面条等面食";3;6;"1";"Admin";"";"Admin";"";"1"
19;"在发霉或潮湿地方感觉更差";4;1;"1";"Admin";"";"Admin";"";"1"
20;"有股癣、香港脚、指甲真菌感染";4;2;"1";"Admin";"";"Admin";"";"1"
21;"排便每天少于一次";4;3;"1";"Admin";"";"Admin";"";"1"
22;"便臭";4;4;"1";"Admin";"";"Admin";"";"1"
23;"大便硬或难解出来";4;5;"1";"Admin";"";"Admin";"";"1"
24;"舌苔厚";4;6;"1";"Admin";"";"Admin";"";"1"
25;"小腿、脚或脚趾在休息时抽筋";5;1;"1";"Admin";"";"Admin";"";"1"
26;"味觉或嗅觉减退，指甲有白点";5;2;"1";"Admin";"";"Admin";"";"1"
27;"关节疼痛或肿胀，或有椎间盘突出";5;3;"1";"Admin";"";"Admin";"";"1"
28;"晨僵";5;4;"1";"Admin";"";"Admin";"";"1"
29;"渴望巧克力";5;5;"1";"Admin";"";"Admin";"";"1"
30;"口、眼和/或鼻干";5;6;"1";"Admin";"";"Admin";"";"1"
31;"喜欢吃油腻食物或高脂类食物";6;1;"1";"Admin";"";"Admin";"";"1"
32;"低脂或减少脂类饮食";6;2;"1";"Admin";"";"Admin";"";"1"
33;"容易晒伤";6;3;"1";"Admin";"";"Admin";"";"1"
34;"容易肌疲劳";6;4;"1";"Admin";"";"Admin";"";"1"
35;"紧张性头痛或炎热太阳下头痛";6;5;"1";"Admin";"";"Admin";"";"1"
36;"皮肤干片状和/或头皮屑多";6;6;"1";"Admin";"";"Admin";"";"1"
37;"喜欢甜食";7;1;"1";"Admin";"";"Admin";"";"1"
38;"食欲过度";7;2;"1";"Admin";"";"Admin";"";"1"
39;"饭前急躁，如果不吃饭或延迟吃饭会头痛或无精神";7;3;"1";"Admin";"";"Admin";"";"1"
40;"下午渴望咖啡或糖";7;4;"1";"Admin";"";"Admin";"";"1"
41;"频繁口渴，尿频";7;5;"1";"Admin";"";"Admin";"";"1"
42;"入睡后几小时唤醒，再很难入睡";7;6;"1";"Admin";"";"Admin";"";"1"
43;"中等运动就容易累";8;1;"1";"Admin";"";"Admin";"";"1"
44;"容易招虫叮咬";8;2;"1";"Admin";"";"Admin";"";"1"
45;"紧张不安，担心、焦虑，忧心忡忡";8;3;"1";"Admin";"";"Admin";"";"1"
46;"刷牙时牙龈容易出血，皮肤脆弱，刮胡子易受伤";8;4;"1";"Admin";"";"Admin";"";"1"
47;"唇干裂，嘴角裂开";8;5;"1";"Admin";"";"Admin";"";"1"
48;"易长息肉或疣";8;6;"1";"Admin";"";"Admin";"";"1"
49;"倾向“夜猫子”或深夜精神好";9;1;"1";"Admin";"";"Admin";"";"1"
50;"长期腰背酸痛，疲劳时更差";9;2;"1";"Admin";"";"Admin";"";"1"
51;"突然站起时头晕";9;3;"1";"Admin";"";"Admin";"";"1"
52;"慢性疲劳，或经常瞌睡";9;4;"1";"Admin";"";"Admin";"";"1"
53;"易紧张或兴奋，要平静下来困难";9;5;"1";"Admin";"";"Admin";"";"1"
54;"早晨起床后恢复清醒或灵活缓慢";9;6;"1";"Admin";"";"Admin";"";"1"
55;"即使胃口大，但也难增加体重";10;1;"1";"Admin";"";"Admin";"";"1"
56;"情绪化，不能在压力下工作，内心发抖（精神不安）";10;2;"1";"Admin";"";"Admin";"";"1"
57;"怕热";10;3;"1";"Admin";"";"Admin";"";"1"
58;"怕冷，血液循环不良（手和脚冷）";10;4;"1";"Admin";"";"Admin";"";"1"
59;"过多的脱发/或毛发粗糙";10;5;"1";"Admin";"";"Admin";"";"1"
60;"容易疲劳、白天困乏";10;6;"1";"Admin";"";"Admin";"";"1"
61;"有前列腺问题";11;1;"1";"Admin";"";"Admin";"";"1"
62;"排尿困难或尿不尽";11;2;"1";"Admin";"";"Admin";"";"1"
63;"小便时疼痛或烧灼感";11;3;"1";"Admin";"";"Admin";"";"1"
64;"夜晚醒了就想小便";11;4;"1";"Admin";"";"Admin";"";"1"
65;"排尿过程中尿流中断";11;5;"1";"Admin";"";"Admin";"";"1"
66;"性功能下降";11;6;"1";"Admin";"";"Admin";"";"1"
67;"月经周期变化或周期长短改变";11;1;"1";"Admin";"";"Admin";"";"0"
68;"乳腺增生或子宫肌瘤";11;2;"1";"Admin";"";"Admin";"";"0"
69;"阴道分泌物多或阴道瘙痒";11;3;"1";"Admin";"";"Admin";"";"0"
70;"随月经周期情绪波动";11;4;"1";"Admin";"";"Admin";"";"0"
71;"经期血流稀少";11;5;"1";"Admin";"";"Admin";"";"0"
72;"热潮红";11;6;"1";"Admin";"";"Admin";"";"0"
73;"在密闭空间有强烈想开窗愿望";12;1;"1";"Admin";"";"Admin";"";"1"
74;"高海拔地区感觉不适";12;2;"1";"Admin";"";"Admin";"";"1"
75;"中等运动感觉气短";12;3;"1";"Admin";"";"Admin";"";"1"
76;"胸闷、胸痛放射到右肩";12;4;"1";"Admin";"";"Admin";"";"1"
